Date;Oil bbl/d
17/01/2018;412
18/01/2018;253
19/01/2018;351
20/01/2018;364
21/01/2018;338
22/01/2018;342
23/01/2018;335
24/01/2018;292
25/01/2018;366
26/01/2018;331
27/01/2018;377
28/01/2018;341
29/01/2018;339
30/01/2018;359
31/01/2018;292
01/02/2018;372
02/02/2018;349
03/02/2018;330
04/02/2018;313
05/02/2018;310
06/02/2018;319
07/02/2018;318
08/02/2018;324
09/02/2018;395
10/02/2018;362
11/02/2018;377
12/02/2018;359
13/02/2018;376
14/02/2018;371
15/02/2018;381
16/02/2018;407
17/02/2018;324
18/02/2018;339
19/02/2018;351
20/02/2018;358
21/02/2018;360
22/02/2018;329
23/02/2018;376
24/02/2018;358
25/02/2018;387
26/02/2018;386
27/02/2018;398
28/02/2018;398
01/03/2018;373
02/03/2018;368
03/03/2018;379
04/03/2018;380
05/03/2018;381
06/03/2018;356
07/03/2018;337
08/03/2018;326
09/03/2018;318
10/03/2018;288
11/03/2018;299
12/03/2018;326
13/03/2018;337
14/03/2018;334
15/03/2018;344
16/03/2018;328
17/03/2018;317
18/03/2018;322
19/03/2018;319
20/03/2018;298
21/03/2018;309
22/03/2018;334
23/03/2018;347
24/03/2018;368
25/03/2018;359
26/03/2018;372
27/03/2018;379
28/03/2018;412
29/03/2018;409
30/03/2018;316
31/03/2018;384
01/04/2018;372
02/04/2018;417
03/04/2018;433
04/04/2018;421
05/04/2018;413
06/04/2018;400
07/04/2018;393
08/04/2018;396
09/04/2018;398
10/04/2018;408
11/04/2018;406
12/04/2018;426
13/04/2018;431
14/04/2018;413
15/04/2018;410
16/04/2018;431
17/04/2018;426
18/04/2018;424
19/04/2018;431
20/04/2018;436
21/04/2018;429
22/04/2018;424
23/04/2018;429
24/04/2018;418
25/04/2018;421
26/04/2018;416
27/04/2018;411
28/04/2018;416
29/04/2018;405
30/04/2018;416
01/05/2018;433
02/05/2018;426
03/05/2018;410
04/05/2018;409
05/05/2018;402
06/05/2018;411
07/05/2018;429
08/05/2018;391
09/05/2018;378
10/05/2018;363
11/05/2018;379
12/05/2018;370
13/05/2018;373
14/05/2018;356
15/05/2018;371
16/05/2018;394
17/05/2018;398
18/05/2018;400
19/05/2018;422
20/05/2018;432
21/05/2018;416
22/05/2018;419
23/05/2018;407
24/05/2018;400
25/05/2018;400
26/05/2018;395
27/05/2018;379
28/05/2018;392
29/05/2018;387
30/05/2018;360
31/05/2018;351
01/06/2018;355
02/06/2018;358
03/06/2018;352
04/06/2018;353
05/06/2018;374
06/06/2018;395
07/06/2018;406
08/06/2018;395
09/06/2018;387
10/06/2018;385
11/06/2018;390
12/06/2018;384
13/06/2018;388
14/06/2018;374
15/06/2018;345
16/06/2018;342
17/06/2018;320
18/06/2018;329
19/06/2018;359
20/06/2018;382
21/06/2018;368
22/06/2018;353
23/06/2018;367
24/06/2018;384
25/06/2018;381
26/06/2018;376
27/06/2018;364
28/06/2018;364
29/06/2018;362
30/06/2018;362
01/07/2018;368
02/07/2018;368
03/07/2018;359
04/07/2018;359
05/07/2018;353
06/07/2018;359
07/07/2018;359
08/07/2018;352
09/07/2018;358
10/07/2018;335
11/07/2018;335
12/07/2018;331
13/07/2018;331
14/07/2018;323
15/07/2018;323
16/07/2018;317
17/07/2018;317
18/07/2018;317
19/07/2018;317
20/07/2018;317
21/07/2018;310
22/07/2018;310
23/07/2018;304
24/07/2018;304
25/07/2018;304
26/07/2018;299
27/07/2018;299
28/07/2018;310
29/07/2018;342
30/07/2018;342
31/07/2018;342
01/08/2018;378
02/08/2018;378
03/08/2018;378
04/08/2018;356
05/08/2018;356
06/08/2018;356
07/08/2018;335
08/08/2018;312
09/08/2018;272
10/08/2018;272
11/08/2018;309
12/08/2018;309
13/08/2018;394
14/08/2018;394
15/08/2018;374
16/08/2018;374
17/08/2018;379
18/08/2018;388
19/08/2018;388
20/08/2018;385
21/08/2018;385
22/08/2018;382
23/08/2018;382
24/08/2018;376
25/08/2018;367
26/08/2018;371
27/08/2018;371
28/08/2018;384
29/08/2018;395
30/08/2018;392
31/08/2018;392
01/09/2018;395
02/09/2018;395
03/09/2018;400
04/09/2018;406
05/09/2018;400
06/09/2018;390
07/09/2018;390
08/09/2018;393
09/09/2018;393
10/09/2018;389
11/09/2018;389
12/09/2018;376
13/09/2018;373
14/09/2018;370
15/09/2018;361
16/09/2018;361
17/09/2018;354
18/09/2018;352
19/09/2018;352
20/09/2018;349
21/09/2018;370
22/09/2018;374
23/09/2018;374
24/09/2018;374
25/09/2018;354
26/09/2018;354
27/09/2018;352
28/09/2018;352
29/09/2018;352
30/09/2018;352
01/10/2018;350
02/10/2018;350
03/10/2018;344
04/10/2018;344
05/10/2018;328
06/10/2018;328
07/10/2018;328
08/10/2018;328
09/10/2018;339
10/10/2018;339
11/10/2018;339
12/10/2018;342
13/10/2018;342
14/10/2018;370
15/10/2018;370
16/10/2018;370
17/10/2018;360
18/10/2018;360
19/10/2018;360
20/10/2018;371
21/10/2018;371
22/10/2018;366
23/10/2018;366
24/10/2018;380
25/10/2018;380
26/10/2018;372
27/10/2018;372
28/10/2018;377
29/10/2018;377
30/10/2018;373
31/10/2018;373
01/11/2018;384
02/11/2018;440
03/11/2018;434
04/11/2018;429
05/11/2018;429
06/11/2018;430
07/11/2018;459
08/11/2018;459
09/11/2018;459
10/11/2018;454
11/11/2018;454
12/11/2018;459
13/11/2018;459
14/11/2018;459
15/11/2018;470
16/11/2018;470
17/11/2018;465
18/11/2018;465
19/11/2018;465
20/11/2018;470
21/11/2018;470
22/11/2018;470
23/11/2018;470
24/11/2018;475
25/11/2018;475
26/11/2018;473
27/11/2018;473
28/11/2018;460
29/11/2018;460
30/11/2018;430
01/12/2018;430
02/12/2018;430
03/12/2018;422
04/12/2018;422
05/12/2018;431
06/12/2018;431
07/12/2018;427
08/12/2018;427
09/12/2018;427
10/12/2018;434
11/12/2018;434
12/12/2018;434
13/12/2018;434
14/12/2018;434
15/12/2018;443
16/12/2018;443
17/12/2018;443
18/12/2018;448
19/12/2018;448
20/12/2018;448
21/12/2018;460
22/12/2018;460
23/12/2018;460
24/12/2018;458
25/12/2018;458
26/12/2018;458
27/12/2018;462
28/12/2018;462
29/12/2018;462
30/12/2018;468
31/12/2018;468
01/01/2019;467
02/01/2019;467
03/01/2019;467
04/01/2019;440
05/01/2019;440
06/01/2019;440
07/01/2019;440
08/01/2019;440
09/01/2019;451
10/01/2019;451
11/01/2019;446
12/01/2019;446
13/01/2019;446
14/01/2019;446
15/01/2019;435
16/01/2019;435
17/01/2019;435
18/01/2019;435
19/01/2019;427
20/01/2019;427
21/01/2019;427
22/01/2019;443
23/01/2019;443
24/01/2019;443
25/01/2019;454
26/01/2019;454
27/01/2019;440
28/01/2019;440
29/01/2019;440
30/01/2019;446
31/01/2019;446
01/02/2019;446
02/02/2019;446
03/02/2019;448
04/02/2019;448
05/02/2019;459
06/02/2019;459
07/02/2019;424
08/02/2019;424
09/02/2019;438
10/02/2019;438
11/02/2019;449
12/02/2019;466
13/02/2019;473
14/02/2019;473
15/02/2019;474
16/02/2019;474
17/02/2019;458
18/02/2019;458
